city;index
Los Angeles;23
New York;23
Tokyo;7
Berlin;6
Paris;5
London;3
Milan;3
San Francisco;3
Zürich;3
Basel;2
Copenhagen;2
East Hampton;2
Geneva;2
Lissabon;2
Oslo;2
Aarhus;1
Auckland;1
Barcelona;1
Biarritz;1
Braunschweig;1
Bremen;1
Cambridge;1
Cologne;1
Dortmund;1
Düsseldorf;1
Glasgow;1
Harburger Bahnhof;1
Honolulu;1
Joshua Tree;1
Mexico City;1
Miami;1
Nürnberg;1
Oakville;1
Provincetown;1
San Juan;1
"San Juan del Sur; La Virgen; San Jose de los Remates";1
Santa Barbara;1
Seoul;1
St.Petersburg;1
Tbilisi;1
Tel Aviv;1
Turin;1
Vancouver;1
Venice;2
Vienna;1
