gallery;pop;artist;title;year;city;country;lifeExp
576 Morgan Ave Apt 3L;1;"
Jeanette Mundt";Das Mundt;2014;New York;United States of America;1
Air de Paris;1;Shimabuku;Christmas in the Southern Hemisphere;1999;Paris;France;2
Almine Rech;1;De Wain Valentine;Works from 1967 to Present;2019;New York;United States of America;2
Altman Siegel;1;"
Will Rogan";Albatross;2018;San Francisco;United States of America;1
Andrew Kreps;1;Ricci Albenda;Untitled;2013;New York;United States of America;3
Art, Design & Architecture Museum;1;Ishi Glinsky;Upon a Jagged Maze;2023;Santa Barbara;United States of America;3
Artists Space;1;Ei Arakawa;Social Muscle Rehab;2021;New York;United States of America;3
Artspeak;1;"
Yuji Agematsu";CARETAKERS;2014;Vancouver;Canada;6
Balice Hertling;1;Mark Barrow, Sam Falls, Monir Shahroudy Farmanfarmaian, John Houck, Charlie Jeffery, Kitty Kraus, Gabriel Orozco, Joel Otterson, Seth Price, Chadwick Rantanen;Fearful Symmetry;2013;New York;United States of America;6
Balice Hertling and Lewis;1;Viola Yesiltac;Scharfstellen was Autofokus war;2012;New York;France;6
Blum & Poe;1;"
Agnès Varda";Untitled;2017;New York;United States of America;6
Bombon Projects;1;Alisa Heil;Spieglein, Spieglein (mirror, mirror);2022;Barcelona;Spain;6
Casey Kaplan;1;Simon Starling;Triangulation Station A (40°44’49.17′′ N 74°0’22.45′′ W);2012;New York;United States of America;6
castillo/corrales;1;hobbypopMUSEUM, The Shadow Ring, New Theater, Filmgruppe West;The Group;2015;Paris;France;1
Champ Lacombe;1;Tim Breuer;Solo show;2022;Biarritz;United States of America;1
Chris Sharp Gallery;2;Jovencio de la Paz;Some Circles, Bent Pyramids, and Warped Grids;2022;Los Angeles;United States of America;1
Chris Sharp Gallery;2;"
Sophie Barber";Kim and Kanye kiss without tongues;2021;Los Angeles;United States of America;1
Commercial street;2;Veit Laurent Kurz;Circle of the Bee;2022;Los Angeles;United States of America;1
Commercial Street;2;Wolfgang Breuer, Catharine Czudej, Tim Eastman, Marius Engh, Rochelle Goldberg, Yannic Joray, Allison Katz, Matthew Lutz-Kinoy, Emanuel Rossetti, Amelie von Wulffen;The Discovery of a Leak in the Roof of Marcel Breuer’s Wellfleet Summer Cottage on the Morning of September 16, 1984, Part 2;2016;Provincetown;United States of America;2
Craft Contemporary;1;Fafnir Adamites, Andre Keichian, Alberto Lule, Miller Robinson, Ryat Yezbick;Tactics of Erasure and Rewriting Histories;2023;Los Angeles;United States of America;2
David Lewis;1;"
Todd Gray";Atlantic lullabies, Other tellings;2022;East Hampton;United States of America;1
Dortmunder Kunstverein;1;"
Theresa Weber";Woven Memories;2021;Dortmund;Germany;1
Duarte Sequeira Seoul;1;Lily Kemp;Cry me a river;2023;Seoul;South Korea;2
Édouard Montassut;1;Marie Angeletti;Citadelle;2016;Paris;France;2
Embajada;1;Elza Sīle;Mystery Bloodshed (Ever is over all);2023;San Juan;San Juan;2
Fig.,;1;"
Nicolás Guagnini, Shizuka Okada";Galerie Max Mayer, Düsseldorf at Fig., Tokyo;2022;Tokyo;Japan;2
Fondazione Sandretto Re Rebaudengo;1;Carla Accardi, Vanessa Alessi, Elisa Caldana, Nicoló Degiorgis, Fortunato Depero, Collettivo Fernweh, Cady Noland, Luigi Ontani, Turi Rapisarda, Salvo;Passo Dopo Passo;2016;Turin;Italy;1
François Ghebaly;2;Rindon Johnson;The Valley of the Moon;2021;Los Angeles;United States of America;1
François Ghebaly;2;"
Meriem Bennani";Guided Tour of a Spill;2021;Los Angeles;United States of America;1
GAK Gesellschaft für Aktuelle Kunst;1;Eglė Budvytytė (with Marija Olšauskaitė and Ona Julija Lukas Steponaitytė), Catalina González González, Ida Lennartsson, Atsushi Mannami, Martha Rosler, RA Walden;Crossing an empty beach to look at the ocean;2022;Bremen;Germany;1
Galeria Madragoa;1;Luís Lázaro Matos;Seabed Monsters And The Cosmic Rays;2021;Lissabon;Portugal;2
Galerie Buchholz;2;Thomas Eggerer;Fence Romance;2010;Berlin;Germany;2
Galerie Buchholz;2;Thomas Eggerer;Fence Romance;2010;Berlin;Germany;3
Galerie Francesca Pia;1;Mai-Thu Perret;The Prairie;2013;Zürich;United States of America;3
Galerie Gisela Capitain;1;Yann Gerstberger;Zugunruhe;2021;Cologne;Germany;3
Gío Marconi;1;Kerstin Brätsch;Full-Fall presents Kerstin Brätsch (Poli'ahu's Cure);2016;Milan;Italy;23
Gnyp Gallery;1;"
Kour Pour";Onnagata;2016;Berlin;Germany;23
Graff Mourgue D'Algue;2;Kim Seob Boninsegni, Vittorio Brodmann, Isabelle Cornaro, Stéphane Dafflon, DAS INSTITUT, Charles Irvin, Kaiser Kraft, Shawn Kuruneru, Adrien Missika, Guillaume Pilet, Ulrich Wulff;MR. C?;2012;Geneva;Swiss;23
Graff Mourgue D'Algue;2;Kim Seob Boninsegni, Vittorio Brodmann, Isabelle Cornaro, Stéphane Dafflon, DAS INSTITUT, Charles Irvin, Kaiser Kraft, Shawn Kuruneru, Adrien Missika, Guillaume Pilet, Ulrich Wulff;MR. C?;2012;Geneva;Swiss;23
Greene Naftali;1;"
Candy Jernigan";To, From;2019;New York;United States of America;23
Grimm;1;Dirk Braeckman, Matthias Franz, Kati Heck, Chantal Joffe, Dana Lixenberg, Daniel Richter, Norbert Schwontkowski, Caroline Walker, Guido van der Werve;Condition Humaine;2021;New York;United States of America;23
