gallery:,artist:,exhibition:,year:,city:,country:
Beige,"Jurgen Ots, Heidi Voet",Hocus Pocus,2023,Brussels,Belgium
WIELS,Shimabuku,Instrumental  ,2023,Brussels,Belgium
Someday Gallery,Riley Duncan,The World on Time,2023,New York,United States of America
Overduin & Co.,Poppy Jones,Body & Soul,2023,Los Angeles,United States of America
High Desert Test Sites,"Dineo Seshee Bopape, Alice Channer, Gerald Clarke, Jack Pierson, Dana Sherwood, Kate Lee Short, Paloma Varga Weisz, Rachel Whiteread, Erkan Özgen",The Searches,2022,Joshua Tree,United States of America
Lubov,"Ryan Foerster, Aramis Gutierrez, Van Hanos, Stefan Hoza, Edward Kienholz, David Muenzer, Sydney Shen, Michelle Uckotter","Heaven Above Sea Below
",2022,New York,United States of America
HESSE FLATOW,Clark Filio,The Art of War at Sea,2022,New York,United States of America
Air de Paris,Shimabuku,Swan Goest to the Sea / Let’s Make Cows Fly!,2022,Paris,France
Damien & The Love Guru,"Giuseppe Desiato, Le Nemesiache, Raffaela Naldi Rossano",How she spins,2022,Brussels,Belgium
Jason Haam,Nora Maité Nieves,Temple of the Seas,2022,Seoul,South Corea
Goldfinch,Diana Gabriel,Permanence,2022,Chicago,United States of America
Emma Gray HQ,Justin Ortiz,The Golden Arm,2022,Los Angeles,United States of America
Kunsthaus Baselland,Maude Léonard-Contant,Digs,2022,Basel,Swiss
Rhona Hoffman Gallery,Martha Tuttle,"An ear, a hand, a mouth, an offering, an angel",2022,Chicago,United States of America
kamel mennour,Matthew Lutz-Kinoy,Plate is Bed Plate is Sun Plate is Circle Plate is Cycle,2022,Paris,France
Harkawik,John Seal,Picture in Picture,2022,New York,United States of America
MUMOK,Huang Po-Chih,Blue Elephant,2022,Vienna,Austria
Margot Samel,Stephen Polatch,Swan-Road,2022,New York,Unites States of America
Le Consortium,Jill Mulleady,BLOOD FOG,2022,Dijon,France
Galeria Madragoa,Luís Lázaro Matos,Seabed Monsters And The Cosmic Rays,2021,Lissabon,Portugal
Harkawik,Ted Gahl,"Stories from the City, Stories from the Sea",2021,Los Angeles,United States of America
Villa Carmignac,31 artists,The Imaginary Sea,2021,Hyères,France
