gallery;city;Lon;Lat
FRAC Poitou-Charentes;Angoulême;0.160000;45.650002
Kunstruimte Wagemans;Beetsterzwaag;6.073166374;53.05666644
Galerie Barbara Weiss;Berlin;13.381777;52.531677
LISZT;Berlin;13.381777;52.531677
Akademie der Kunst;Berlin;13.381778;52.531678
Kunstlerhaus Palais Thurn und Taxis;Bregenz;9.7471;47.50311
Arnolfini;Bristol;-2.587910;51.454514
Smart Museum of Art;Chicago;-87.554420;41.739685
Galerie Christian Nagel;Cologne;6.953101;50.935173
Esther Schipper;Cologne;6.953102;50.935174
Tanja Grunert;Cologne;6.953103;50.935175
Tanja Grunert;Cologne;6.953104;50.935176
Esther Schipper;Cologne;6.953105;50.935177
Galerie Christian Nagel;Cologne;6.953106;50.935178
Azko Nobel Paint Factory;Dublin;-6.266155;53.350140
Spacex;Exeter;-3.533333;50.716667
Spacex;Exeter;-3.533334;50.716668
Strauss & Adamopolous;Frankfurt;8.682127;50.110924
Institut für Neue Medien/Galerie Ryszard Varisella;FRANKFURT;8.682128;50.110925
Pinksummer;Genoa;8.942184;44.414165
Neue Galerie am Landesmuseum;Graz;15.421371;47.076668
Galerie für Landschaftskunst;Hamburg;9.993682;53.551086
391 Victoria Street;Hamilton;-79.843826;43.255203
ZKM;Karlsruhe;8.403653;49.006889
ZKM;Karlsruhe;8.403654;49.006890
Documenta;Kassel;9.481544;51.312801
Unit 2;London;-0.118092;51.509865
Riverside Studios;London;-0.118093;51.509866
arsFutura;Lucerne;8.30635;47.05048
Galería Marta Cervera;"Madrid
";-3.703790;40.416775
Rooseum;Malmo;13.00073;55.60587
Museo Santa Barbara;Mammola;16.203148420;38.37805055
Galerie de Marseille;Marseille;5.370000;43.296398
Centre d'art Contemporain;Meymac;2.14502;45.53487
Le Case D'Arte;Milan;9.188540;45.464664
Le Case D'Arte;Milan;9.188540;45.464664
K-Raum Daxer;Munich;11.576124;"48.137154
"
Maxwell Graham / Essex Street;New York;-73.935242;40.730610
Peanut Underground Art Projects;New York;-73.935242;40.730610
whitebox;New York;-73.935242;40.730610
American Fine Arts;New York;-73.935243;40.730611
Nikolai Fine Art;New York;-73.935244;40.730612
American Fine Arts;New York;-73.935245;40.730613
Roger Smith Gallery;New York;-73.935246;40.730614
Nikolai Fine Art;New York;-73.935247;40.730615
American Fine Arts;New York;-73.935248;40.730616
ROVE;New York;-73.935249;40.730617
Steffany Martz;New York;-73.935250;40.730618
Marc Jancou;New York;-73.935251;40.730619
American Fine Arts;New York;-73.935252;40.730620
American Fine Arts;New York;-73.935253;40.730621
American Fine Arts;New York;-73.935254;40.730622
American Fine Arts;New York;-73.935255;40.730623
American Fine Arts;New York;-73.935256;40.730624
Scott Hanson;New York;-73.935257;40.730625
The Kitchen;New York;-73.935258;40.730626
"Chase Manhattan Plaza; Lower Manhattan Cultural Council";New York;-73.935259;40.730627
Peter Nadin;New York;-73.935260;40.730628
Dojima River Biennale;Osaka;135.484802;34.672314
Galerie Roger Pailha;Paris;2.3488;48.85341
L'Hôpital éphémèr;Paris;2.3488;48.85342
Baxter Art Gallery;Pasadena;-118.131943;34.156113
Rockford Art Museum;Rockford ;-89.064445;42.259445
8th Sharjah Biennial;Sharjah ;25.348766;55.405403
Artspace;Sydney;151.209900;-33.865143
Gemeentemuseum Den Haag;The Hague;4.288788;52.078663
Stroom;The Hague;4.288789;52.078664
Mars Gallery;Tokyo;139.817413;35.672855
Venice Biennale;Venice;12.327145;45.438759
Venice Biennale;Venice;12.327146;45.438760
Galerie Metropol;Vienna;16.363449;48.210033
Wiener Festwochen;Vienna;16.363450;48.210034
