gallery;city;Lon;Lat
Kunsthal Aarhus;Aarhus;10.210365;56.162939
Te Tuhi;Auckland;174.763336;-36.848461
Te Tuhi;Auckland;174.763337;-36.848462
Bombon Projects;Barcelona;2.154007;41.390205
Wilde;Basel;7.588576;47.559601
New Jerseyy;Basel;7.588577;47.559602
New Jerseyy;Basel;7.588578;47.559603
Gnyp Gallery;Berlin;13.381777;52.531677
Société;Berlin;13.381778;52.531678
Schinkel Pavillon;Berlin;13.381779;52.531679
Galerie Buchholz;Berlin;13.381780;52.531680
Galerie Buchholz;Berlin;13.381781;52.531681
Konrad Fischer;Berlin;13.381782;52.531682
Champ Lacombe;Biarritz;-1.560000;43.480000
Kunstverein Braunschweig;Braunschweig;10.516667;52.266666
GAK Gesellschaft für Aktuelle Kunst;Bremen;8.806422;53.073635
MIT List Visual Arts Center;Cambridge;0.119167;52.205276
Galerie Gisela Capitain;Cologne;6.953101;50.935173
Simian;Copenhagen;12.568337;55.676098
O—Overgaden;Copenhagen;12.568338;55.676099
Dortmunder Kunstverein;Dortmund;7.468429;51.514244
sonneundsolche;Dusseldorf;6.783333;51.233334
Halsey McKay;East Hampton;-72.184799;40.963432
David Lewis;East Hampton;-72.184800;40.963433
Graff Mourgue D'Algue;Geneva;6.143158;46.204391
Graff Mourgue D'Algue;Geneva;6.143159;46.204392
The Modern Institute;Glasgow;-4.251433;55.860916
Kunstverein Harburger Bahnhof;Harburger Bahnhof;9.98832938;53.453664852
The Art Gallery at the University of Hawai‘i at Mānoa;Honolulu;-157.858093;21.315603
High Desert Test Sites;Joshua Tree;-115.900650;33.881866
Galeria Madragoa;Lissabon;-9.142685;38.736946
Kunsthalle Lissabon;Lissabon;-9.142686;38.736947
Tiwani Contemporary;London;-0.118092;51.509865
Pilar Corrias;London;-0.118093;51.509866
Hauser & Wirth;London;-0.118094;51.509867
Kristina Kite Gallery;Los Angeles;-118.327759;34.098907
Craft Contemporary;Los Angeles;-118.327760;34.098908
Shulamit Nazarian;Los Angeles;-118.327761;34.098909
Hammer Museum;Los Angeles;-118.327762;34.098910
Commercial street;Los Angeles;-118.327763;34.098911
Kristina Kite Gallery;Los Angeles;-118.327764;34.098912
Chris Sharp Gallery;Los Angeles;-118.327765;34.098913
Kristina Kite Gallery;Los Angeles;-118.327766;34.098914
Various Small Fires;Los Angeles;-118.327767;34.098915
François Ghebaly;Los Angeles;-118.327768;34.098916
François Ghebaly;Los Angeles;-118.327769;34.098917
Chris Sharp Gallery;Los Angeles;-118.327770;34.098918
Sprüth Magers;Los Angeles;-118.327771;34.098919
Meliksetian | Briggs;Los Angeles;-118.327772;34.098920
Reena Spaulings Fine Art;Los Angeles;-118.327773;34.098921
Matthew Marks;Los Angeles;-118.327774;34.098922
Kristina Kite Gallery;Los Angeles;-118.327775;34.098923
Hannah Hoffman Gallery;Los Angeles;-118.327776;34.098924
JOAN;Los Angeles;-118.327777;34.098925
JOAN;Los Angeles;-118.327778;34.098926
Public Fiction at Hammer Museum;Los Angeles;-118.327779;34.098927
Parrasch Heijnen;Los Angeles;-118.327780;34.098928
Parrasch Heijnen;Los Angeles;-118.327781;34.098929
