city;Long;Lat;Pop
Aarhus;10.210365;56.162939;1
Auckland;174.763336;-36.848461;2
Barcelona;2.173403;41.385064;2
Basel;7.588576;47.559601;4
Berlin;13.381777;52.531677;17
Biarritz;-1.560000;43.480000;1
Birmingham;-1.890401;52.486243;1
Braunschweig;10.516667;52.266666;1
Bremen;8.806422;53.073635;1
Brussels;4.351724;50.850349;4
Cambridge;0.119167;52.205276;1
Chicago;-87.629798;41.878114;2
Cincinnati;-84.512020;39.103118;1
Cologne;6.953101;50.935173;2
Copenhagen;12.568338;55.676099;2
Dijon;5.041480;47.322047;1
Dortmund;7.468429;51.514244;1
Dusseldorf;6.783333;51.233334;1
East Hampton;-72.184799;40.963432;2
Essex;0.603602;51.555127;1
Frankfurt;8.682127;50.110922;1
Geneva;6.143158;46.204391;2
Glasgow;-4.251433;55.860916;1
Harburger Bahnhof;9.98832938;53.453664852;1
Hong Kong;114.109497;22.396428;1
Honolulu;-157.858093;21.315603;1
Hyères;6.128639;43.120541;1
Joshua Tree;-115.900650;33.881866;2
Lissabon;-9.142685;38.736946;4
London;-0.118092;51.509865;4
Los Angeles;-118.327759;34.098907;28
Mexico City;-99.133209;19.432608;1
Miami;-80.139198;25.793449;1
Middelburg;3.610998;51.498796;1
Milan;9.188540;45.464664;3
Munich;11.576124;48.137154;1
New York;-75.000000;43.000000;35
Nürnberg;11.061859;49.460983;1
Oakville;-79.6857955901;43.4669381322;1
Oslo;10.757933;59.911491;2
Ostend;2.928656;51.215430;1
Paris;2.349014;48.864716;10
Provincetown;-70.178643;42.058441;1
Riga;24.105078;56.946285;1
Rotterdam;4.462456;51.926517;1
San Francisco;-122.431297;37.773972;4
San Juan;-66.105721;18.466333;2
Sankt Gallen;9.376717;47.424482;1
Santa Barbara;-119.698189;34.420830;1
São Paulo;-46.625290;-23.533773;1
Searsport;-68.5529;44. 2730;1
Seoul;127.024612;37.532600;2
St.Petersburg;30.308611;59.937500;1
Tbilisi;44.783333;41.716667;1
Tehran;51.404343;35.715298;1
Tel Aviv;34.855499;32.109333;1
Tokyo;139.817413;35.672855;8
Turin;7.742615;45.116177;1
Vancouver;-123.116226;49.246292;2
Venice;12.327145;45.438759;3
Vienna;16.363449;48.210033;3
Zürich;8.545094;47.373878;1
