gallery;city;Lon;Lat;Pop
Kunsthal Aarhus;Aarhus;10.210365;56.162939;1
Te Tuhi;Auckland;174.763336;-36.848461;2
NoguerasBlanchard;Barcelona;2.173403;41.385064;2
Wilde;Basel;7.588576;47.559601;4
Gnyp Gallery;Berlin;13.381777;52.531677;17
Champ Lacombe;Biarritz;-1.560000;43.480000;1
Ikon;Birmingham;-1.890401;52.486243;1
Kunstverein Braunschweig;Braunschweig;10.516667;52.266666;1
GAK Gesellschaft für Aktuelle Kunst;Bremen;8.806422;53.073635;1
Etablissement d’en face;Brussels;4.351724;50.850349;4
MIT List Visual Arts Center;Cambridge;0.119167;52.205276;1
Goldfinch;Chicago;-87.629798;41.878114;2
Contemporary Arts Center;Cincinnati;-84.512020;39.103118;1
Galerie Gisela Capitain;Cologne;6.953101;50.935173;2
O—Overgaden;Copenhagen;12.568338;55.676099;2
Le Consortium;Dijon;5.041480;47.322047;1
Dortmunder Kunstverein;Dortmund;7.468429;51.514244;1
sonneundsolche;Dusseldorf;6.783333;51.233334;1
Halsey McKay;East Hampton;-72.184799;40.963432;2
Focal Point Gallery;Essex;0.603602;51.555127;1
Neue Alte Brücke;Frankfurt;8.682127;50.110922;1
Graff Mourgue D'Algue;Geneva;6.143158;46.204391;2
The Modern Institute;Glasgow;-4.251433;55.860916;1
Kunstverein Harburger Bahnhof;Harburger Bahnhof;9.98832938;53.453664852;1
Para Site;Hong Kong;114.109497;22.396428;1
The Art Gallery at the University of Hawai‘i at Mānoa;Honolulu;-157.858093;21.315603;1
Villa Carmignac;Hyères;6.128639;43.120541;1
High Desert Test Sites;Joshua Tree;-115.900650;33.881866;2
Galeria Madragoa;Lissabon;-9.142685;38.736946;4
Tiwani Contemporary;London;-0.118092;51.509865;4
Kristina Kite Gallery;Los Angeles;-118.327759;34.098907;28
Museo Tamayo;Mexico City;-99.133209;19.432608;1
Nina Johnson;Miami;-80.139198;25.793449;1
Vleeshal;Middelburg;3.610998;51.498796;1
MASSIMODECARLO;Milan;9.188540;45.464664;3
Nir Altman;Munich;11.576124;48.137154;1
Mishkin Gallery, Baruch College;New York;-75.000000;43.000000;35
Neues Museum;Nürnberg;11.061859;49.460983;1
Oakville Galleries;Oakville;-79.6857955901;43.4669381322;1
STANDARD ;Oslo;10.757933;59.911491;2
Mu.ZEE;Ostend;2.928656;51.215430;1
High Art;Paris;2.349014;48.864716;10
Commercial Street;Provincetown;-70.178643;42.058441;1
Kim? Contemporary Art Centre;Riga;24.105078;56.946285;1
Shimmer;Rotterdam;4.462456;51.926517;1
Altman Siegel;San Francisco;-122.431297;37.773972;4
Embajada;San Juan;-66.105721;18.466333;2
Kunst Halle Sankt Gallen;Sankt Gallen;9.376717;47.424482;1
Art, Design & Architecture Museum;Santa Barbara;-119.698189;34.420830;1
Pivô;São Paulo;-46.625290;-23.533773;1
Waldo;Searsport;-68.5529;44. 2730;1
Duarte Sequeira Seoul;Seoul;127.024612;37.532600;2
Money Gallery;St.Petersburg;30.308611;59.937500;1
LC QUISSER;Tbilisi;44.783333;41.716667;1
Delgosha Gallery;Tehran;51.404343;35.715298;1
Magasin III Jaffa;Tel Aviv;34.855499;32.109333;1
Tomio Koyama Gallery;Tokyo;139.817413;35.672855;8
Fondazione Sandretto Re Rebaudengo;Turin;7.742615;45.116177;1
Artspeak;Vancouver;-123.116226;49.246292;2
Pavilion of KiribATI;Venice;12.327145;45.438759;3
Secession;Vienna;16.363449;48.210033;3
Galerie Francesca Pia;Zürich;8.545094;47.373878;1
