artist,city,Lon,Lat
Graham Rodney,Abbotsford,-122.316666,49.049999
Cézanne Paul,Aix-en-Provence,5.447427,43.529742
Elk Ger van,Amsterdam,4.897070,52.377956
Scholte Rob,Amsterdam,4.897071,52.377957
Lismonde Jules-Clément,Anderlecht,4.329696,50.8365808
Bijl Guillaume,Antwerp,4.402771,51.260197
Colson Vaast,Antwerp,4.402772,51.260198
Fabre Jan,Antwerp,4.402773,51.260199
Alÿs Francis,Antwerp,4.402774,51.260200
Mariën Marcel,Antwerp,4.402775,51.260201
Panamarenko,Antwerp,4.402776,51.260202
Van de Velde Henry,Antwerp,4.402777,51.260203
Permeke Constant,Antwerp ,4.402778,51.260204
Van Kerckhoven Anne-Mie,Antwerp ,4.402779,51.260205
d’O Honoré,Audenarde,3.604461,50.843502
Böcklin Arnold,Basel,7.588576,47.559601
Bess Forrest,Bay City,-83.888865,43.594468
Adnan Etel,Beirut,35.495480,33.888630
Jespers Oscar,Borgerhout ,4.6999972,51.3499986
Brusselmans Jean,Brussels, 4.34878,50.85045
Tytgat Edgard,Brussels, 4.34879,50.85046
Broodthaers Marcel,Bruxelles, 4.34880,50.85047
Wolvens Henri-Victor,Bruxelles, 4.34881,50.85048
Fainaru Belu-Simion,Bucharest,26.096306,44.439663
Blaussyld Maurice,Calais,1.862801,50.954468
Dean Tacita,Canterbury,1.080000, 51.279999
Dumas Marlene,Cape Town,18.423300,33.918861
Spalletti Ettore,Cappelle sul Tavo,14.103210,42.464752
Matisse Henri,Cateau-Cambrésis,3.543770,50.100458
Wulff Katharina,Cologne,6.953101,50.935173
Heerup Henry,Copenhague,12.568337,55.676098
Tunn Susanne,Detmold ,8.87318,51.93855
Byars James Lee,Detroit, -83.045753,42.331429
Kabakov Ilya & Emilia,Dnipropetrovsk,34.983334,48.450001
Kiefer Anselm,Donaueschingen,8.49707,47.95514
Cross Henri-Edmond,Douai,3.080000,50.371399
Richter Gerhard,Dresden,13.737262,51.050407
Deleu Luc,Duffel,4.50903,51.09554 
Feldmann Hans-Peter,Düsseldorf,6.783333,51.233334
Lohaus Bernd,Düsseldorf,6.783334,51.233335
Mucha Reinhard,Düsseldorf,6.783335,51.233336
Grigely Joseph  ,East Longmeadow,-72.512586,42.06454
Braeckman Dirk,Eeklo,3.563890,51.185272
Daniëls René,Eindhoven,	5.469722,51.441642
Visch Henk,Eindhoven,	5.469723,51.441643
Visch Henk,Eindhoven,	5.469724,51.441644
Oppenheim Dennis,Electric City,-82.7132145,34.5794745
Meunier Constantin,Etterbeek ,4.388994,50.832578
Martin Kris,Exeter,-3.533333,50.716667
Bonnard Pierre,Fontenay-aux-Roses ,2.288770,48.789322
Lankveld Gerard van,Gemert, 5.6999972,51.5499978
Copers Leo,Gent,3.717424,51.054342
De Smet Gustave,Gent,3.717425,51.054343
Dierickx Karel,Gent,3.717426,51.054344
Borremans Michael,Geraardsbergen,3.875164,50.770735
Cuvelier Werner,Gent,3.717428,51.054346
van Rysselberghe Théo,Gent ,3.717429,51.054347
Vandenberg Philippe,Gent ,3.717430,51.054348
Denis Maurice,Granville,-1.597302,48.837579
Friedrich Caspar David,Greifswald,13.392341,54.086546
Khnopff Fernand,Grembergen,4.0999996,51.0499998 
Maeyer Marcel,Grenoble,5.722387,45.171547
Delrue Ronny,Heestert,3.410366,50.7826441
Boudin Eugène,Honfleur,0.233262,49.418762
Meunier Henri,Ixelles,4.3666294,50.8333432
Vogels Guillaume,Ixelles,4.3666295,50.8333433
Franky D.C,Izegem,3.213219,50.918079
Franky D.C,Izegem,3.213220,50.918080
Corillon Patrick,Knokke,51.346352,3.285860
Ronsse Matthieu,Kortrijk,3.257726,50.819478
Beuys Joseph,Krefeld,6.566667, 51.333332
"Jongkind Johan
Barthold",Lattrop,6.979192,52.43851
Vallotton Félix,Lausanne,6.633597, 46.519962
Eitel Tim,Leonberg,9.009571,48.796045
Magritte René,Lessines,3.8288692,50.712374
Leonard Zoe,Liberty,-69.302650,44.389370
Charlier Jacques,Liège,5.579666,50.632557
Blake William,London,-0.118092,51.509865
Evans Frederick,London,-0.118093,51.509866
Servranckx Victor,Machelen,4.477536,51.025876
Raveel Roger,Machelen,4.477537,51.025877
Picasso Pablo,Malaga,-4.420000,36.719444
Degouve de Nuncques William,Monthermé, 4.73013,49.88465
Tuymans Luc,Mortsel, 4.466249,"51.169116,"
Darboven Hanne,Munich,11.576124,48.137154
Baldessari John,National City,-117.0991,32.67810
Brecht George,New York,-73.935242, 40.730610
"Vogel
Amy",New York,-73.935243, 40.730611
Katz Alex,New York,-73.935244, 40.730612
Thek Paul,New York,-73.935245, 40.730613
Viola Bill,New York,-73.935246, 40.730614
Weiner Lawrence,New York ,-73.935247, 40.730615
Lichtenstein Roy,New York ,-73.935248, 40.730616
DeBourg Richards Frederick,New York,-73.935249, 40.730617
Tayou Pascale Marthine,Nkongsamba,9.935332,4.974117 
Scanlan Joe,Ohio,-82.996216,40.367474
Schütte Thomas,Oldenburg,8.213889,53.143890
Ruscha Ed,Omaha,-95.995102,41.257160
Courbet Gustave,Ornans,6.147005,47.106041
Otto-Knapp Silke,Osnabrück,8.050000,52.283333
Ensor James,Ostend, 2.934465,51.228443
Spilliaert Léon,Ostend, 2.934466,51.228444
d’Orgeval Martin,Paris,2.349014,48.864716
Banier François-Marie,Paris,2.349015,48.864717
Picabia Francis,Paris,2.349016,48.864718
Kounellis Jannis,"Piraeus, Greece",23.63708,37.94745 
Diebenkorn Richard,"Portland, Oregon",-122.676483,45.523064
Toorop Jan,Purworejo,110.0166666,-7.7166638 
André Carl,Quincy,-71.002579,42.255459
De Cordier Thierry,"Renaix, Flanders",3.600510,50.750537
de Staël Nicolas,Saint-Pétersbourg,30.308611, 59.937500
Creten Johan,Saint-Trond, 5.186251,50.815725
Claus Emile,Sint-Eloois-Vijve,5.186251,50.815725
D’Hollander Ilse,Sint-Niklaas,4.154441,51.155884
Dijkstra Rineke,Sittard, 5.886479,51.000624
Buthe Michael,Sonthofen ,10.280862,47.516116
Susan Hiller,Tallahassee, -84.253334,30.455000
Lemmen Georges,The Hague,4.288788,52.078663
Maris Jacob,The Hague,4.288789,52.078664
Artan Louis,The Hague,4.288790,52.078665
Bas Jan Ader,"
Winschoten",7.036788,53.142498
Sugimoto Hiroshi,Tokyo,139.817413,35.652832
Kosuth Joseph,"Toledo, Ohio",-83.541939,41.651031
Mesmaeker Jacqueline,Uccle,4.33943,50.8023982
van Doesburg Theo,Utrecht,5.104480,52.092876
West Franz ,Vienna,16.363449,48.210033
Le Gray Gustave,Villiers-le-Bel,2.391100,49.009399
Chagall Marc,Vitebsk,30.201622,55.184806
Dibbets Jan,Weert, 5.70694,51.25167
Delvoye Wim,Wervicq,3.048049,50.770320
