artist;Lon;Lat
Graham Rodney;-122.316666;49.049999
Cézanne Paul;5.447427;43.529742
Elk Ger van;4.897070;52.377956
Scholte Rob;4.897071;52.377957
Lismonde Jules-Clément;4.329696;50.8365808
Bijl Guillaume;4.402771;51.260197
Colson Vaast;4.402772;51.260198
Fabre Jan;4.402773;51.260199
Alÿs Francis;4.402774;51.260200
Mariën Marcel;4.402775;51.260201
Panamarenko;4.402776;51.260202
Van de Velde Henry;4.402777;51.260203
Permeke Constant;4.402778;51.260204
Van Kerckhoven Anne-Mie;4.402779;51.260205
d’O Honoré;3.604461;50.843502
Böcklin Arnold;7.588576;47.559601
Bess Forrest;-83.888865;43.594468
Adnan Etel;35.495480;33.888630
Jespers Oscar;4.6999972;51.3499986
Brusselmans Jean;4.34878;50.85045
Tytgat Edgard;4.34879;50.85046
Broodthaers Marcel;4.34880;50.85047
Wolvens Henri-Victor;4.34881;50.85048
Fainaru Belu-Simion;26.096306;44.439663
Blaussyld Maurice;1.862801;50.954468
Dean Tacita;1.080000;51.279999
Dumas Marlene;18.423300;33.918861
Spalletti Ettore;14.103210;42.464752
Matisse Henri;3.543770;50.100458
Wulff Katharina;6.953101;50.935173
Heerup Henry;12.568337;55.676098
Tunn Susanne;8.87318;51.93855
Byars James Lee;-83.045753;42.331429
Kabakov Ilya & Emilia;34.983334;48.450001
Kiefer Anselm;8.49707;47.95514
Cross Henri-Edmond;3.080000;50.371399
Richter Gerhard;13.737262;51.050407
Deleu Luc;4.50903;51.09554
Feldmann Hans-Peter;6.783333;51.233334
Lohaus Bernd;6.783334;51.233335
Mucha Reinhard;6.783335;51.233336
Grigely Joseph  ;-72.512586;42.06454
Braeckman Dirk;3.563890;51.185272
Daniëls René;5.469722;51.441642
Visch Henk;5.469723;51.441643
Visch Henk;5.469724;51.441644
Oppenheim Dennis;-82.7132145;34.5794745
Meunier Constantin;4.388994;50.832578
Martin Kris;-3.533333;50.716667
Bonnard Pierre;2.288770;48.789322
Lankveld Gerard van;5.6999972;51.5499978
Copers Leo;3.717424;51.054342
De Smet Gustave;3.717425;51.054343
Dierickx Karel;3.717426;51.054344
Borremans Michael;3.875164;50.770735
Cuvelier Werner;3.717428;51.054346
van Rysselberghe Théo;3.717429;51.054347
Vandenberg Philippe;3.717430;51.054348
Denis Maurice;-1.597302;48.837579
Friedrich Caspar David;13.392341;54.086546
Khnopff Fernand;4.0999996;51.0499998
Maeyer Marcel;5.722387;45.171547
Delrue Ronny;3.410366;50.7826441
Boudin Eugène;0.233262;49.418762
Meunier Henri;4.3666294;50.8333432
Vogels Guillaume;4.3666295;50.8333433
Franky D.C;3.213219;50.918079
Franky D.C;3.213220;50.918080
Corillon Patrick;51.346352;3.285860
Ronsse Matthieu;3.257726;50.819478
Beuys Joseph;6.566667;51.333332
"Jongkind Johan
Barthold";6.979192;52.43851
Vallotton Félix;6.633597;46.519962
Eitel Tim;9.009571;48.796045
Magritte René;3.8288692;50.712374
Leonard Zoe;-69.302650;44.389370
Charlier Jacques;5.579666;50.632557
Blake William;-0.118092;51.509865
Evans Frederick;-0.118093;51.509866
Servranckx Victor;4.477536;51.025876
Raveel Roger;4.477537;51.025877
Picasso Pablo;-4.420000;36.719444
Degouve de Nuncques William;4.73013;49.88465
Tuymans Luc;4.466249;51.169116,
Darboven Hanne;11.576124;48.137154
Baldessari John;-117.0991;32.67810
Brecht George;-73.935242;40.730610
"Vogel
Amy";-73.935243;40.730611
Katz Alex;-73.935244;40.730612
Thek Paul;-73.935245;40.730613
Viola Bill;-73.935246;40.730614
Weiner Lawrence;-73.935247;40.730615
Lichtenstein Roy;-73.935248;40.730616
DeBourg Richards Frederick;-73.935249;40.730617
Tayou Pascale Marthine;9.935332;4.974117
Scanlan Joe;-82.996216;40.367474
Schütte Thomas;8.213889;53.143890
Ruscha Ed;-95.995102;41.257160
Courbet Gustave;6.147005;47.106041
Otto-Knapp Silke;8.050000;52.283333
Ensor James;2.934465;51.228443
Spilliaert Léon;2.934466;51.228444
d’Orgeval Martin;2.349014;48.864716
Banier François-Marie;2.349015;48.864717
Picabia Francis;2.349016;48.864718
Kounellis Jannis;23.63708;37.94745
Diebenkorn Richard;-122.676483;45.523064
Toorop Jan;110.0166666;-7.7166638
André Carl;-71.002579;42.255459
De Cordier Thierry;3.600510;50.750537
de Staël Nicolas;30.308611;59.937500
Creten Johan;5.186251;50.815725
Claus Emile;5.186251;50.815725
D’Hollander Ilse;4.154441;51.155884
Dijkstra Rineke;5.886479;51.000624
Buthe Michael;10.280862;47.516116
Susan Hiller;-84.253334;30.455000
Lemmen Georges;4.288788;52.078663
Maris Jacob;4.288789;52.078664
Artan Louis;4.288790;52.078665
Bas Jan Ader;7.036788;53.142498
Sugimoto Hiroshi;139.817413;35.652832
Kosuth Joseph;-83.541939;41.651031
Mesmaeker Jacqueline;4.33943;50.8023982
van Doesburg Theo;5.104480;52.092876
West Franz ;16.363449;48.210033
Le Gray Gustave;2.391100;49.009399
Chagall Marc;30.201622;55.184806
Dibbets Jan;5.70694;51.25167
Delvoye Wim;3.048049;50.770320
