city;Long;Lat;Pop
Antwerp;4.402771;51.219448;1
Athens;23.727539;37.983810;1
Aylesbury;-0.808400;51.815606;1
Beirut;35.495480;33.888630;2
Bergama;35.495481;33.893791;1
Bethlehem;27.179913;39.123563;1
Borgofranco d'Ivrea;13.381777;52.520008;1
Brussels, Ontario;35.200657;31.705382;1
Büyükada island;-87.554420;41.878113;1
Chicago;5.4697225;51.441642;1
Durham-Sud, Quebec;105.804817;21.028511;1
Eindhoven ;6.935225;51.175430;1
Hanoi;111.733017;40.846333;1
Hilden;28.979530;41.008240;1
Inner Mongolia;28.979531;41.008240;1
Istanbul;28.979532;41.008240;7
İzmir;28.979533;41.008240;1
Jerusalem;28.979534;41.008240;1
Kiyv;28.979535;41.008240;1
Kıralan;28.979536;41.008240;1
Kozienice;28.979537;41.008240;1
London;27.142826;38.437502;1
Long Island;35.217018;31.771959;1
Madrid;30.523333;50.450001;1
Meerbusch;29.63687710;38.11979880;1
Montreal;21.54779;51.507351;1
Moscow;-0.118092;51.509865;1
Mumbai;-73.138260;40.416775;1
Nancy;-3.703790;40.416775;1
New Mexico;6.690717;51.250351;1
New York;-73.561668;45.508888;1
Passaic, New Jersey;37.618423;37.618423;1
Petilla de Aragón;72.877426;19.076090;1
Providence;6.184417;48.692055;1
Río de Janeiro;-106.018066;34.307144;1
Rome;-73.935242;40.730610;1
San Francisco;-1.116670;42.45000;1
Sasti, Chandrapur;-71.418884;41.825226;1
Skien;-43.196388;-22.908333;1
Stonesfield;12.496366;41.902782;1
Tehran;122.431297;37.773972;1
Tel Aviv;9.60897;59.20962;1
Vegreville;-1.43521;51.8502;1
Volpedo;51.404343;35.715298;1
;34.855499;32.109333;
;-112.041626;53.492626;
;8.986150;44.888870;
;7.856137;45.511361;
;29.118666192;40.854663248;
;-81.24960900;43.74441100;
;-72.333332;45.6499974;
;79.31415;19.81195;
;-74.128476;40.856766;
